[authlib-injector] [INFO] Logging file: F:\ModTest\versions\1.16.5-Forge\authlib-injector.log
[authlib-injector] [INFO] Version: 1.2.7
[authlib-injector] [INFO] Authentication server: http://localhost:50015
[authlib-injector] [WARNING] You are using HTTP protocol, which is INSECURE! Please switch to HTTPS if possible.
2026-08-30 07:26:31,744 main ERROR Error processing element Queue ([Appenders: null]): CLASS_NOT_FOUND
2026-08-30 07:26:32,181 main ERROR Unable to locate appender "ServerGuiConsole" for logger config "root"
[07:26:32] [main/INFO]: ModLauncher running: args [--username, 165, --version, 1.16.5-Forge, --gameDir, F:\ModTest\versions\1.16.5-Forge, --assetsDir, F:\ModTest\assets, --assetIndex, 1.16, --uuid, 9ec8cd4d374a31d2acee87a84f0d903d, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, HMCL 3.16.0.348, --width, 1280, --height, 768, --launchTarget, fmlclient, --fml.forgeVersion, 36.2.42, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20210115.111550]
[07:26:33] [main/INFO]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 17.0.11 by Oracle Corporation
[07:26:34] [main/INFO]: Added Lets Encrypt root certificates as additional trust
[07:26:41] [pool-3-thread-1/INFO]: Wrote 2983 byte class file net.minecraft.util.ObjectIntIdentityMap to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.util.ObjectIntIdentityMap.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 22340 byte class file net.minecraft.item.Item to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.item.Item.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 1738 byte class file net.minecraft.particles.ParticleType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.particles.ParticleType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 11720 byte class file net.minecraft.inventory.container.ContainerType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.inventory.container.ContainerType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 6452 byte class file net.minecraft.entity.merchant.villager.VillagerProfession to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.merchant.villager.VillagerProfession.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 11726 byte class file net.minecraft.village.PointOfInterestType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.village.PointOfInterestType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 11163 byte class file net.minecraft.entity.ai.brain.memory.MemoryModuleType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.ai.brain.memory.MemoryModuleType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 7291 byte class file net.minecraft.entity.ai.brain.sensor.SensorType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.ai.brain.sensor.SensorType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 2616 byte class file net.minecraft.entity.ai.brain.schedule.Activity to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.entity.ai.brain.schedule.Activity.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 24046 byte class file net.minecraft.world.chunk.ChunkStatus to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.chunk.ChunkStatus.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 23935 byte class file net.minecraft.world.gen.feature.structure.Structure to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.feature.structure.Structure.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 3658 byte class file net.minecraft.world.gen.blockstateprovider.BlockStateProviderType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.blockstateprovider.BlockStateProviderType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 2713 byte class file net.minecraft.world.gen.blockplacer.BlockPlacerType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.blockplacer.BlockPlacerType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 4563 byte class file net.minecraft.world.gen.foliageplacer.FoliagePlacerType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.foliageplacer.FoliagePlacerType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 3342 byte class file net.minecraft.world.gen.treedecorator.TreeDecoratorType to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.treedecorator.TreeDecoratorType.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 30613 byte class file net.minecraft.world.biome.Biome to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.biome.Biome.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 11719 byte class file net.minecraft.world.gen.DimensionSettings to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.world.gen.DimensionSettings.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 106150 byte class file net.minecraft.block.Blocks to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.Blocks.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 3628 byte class file net.minecraft.block.SnowyDirtBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SnowyDirtBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 6061 byte class file net.minecraft.block.SaplingBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SaplingBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 4089 byte class file net.minecraft.block.BushBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.BushBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 13483 byte class file net.minecraft.block.FlowingFluidBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FlowingFluidBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 5875 byte class file net.minecraft.block.SpongeBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SpongeBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 3968 byte class file net.minecraft.block.WetSpongeBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WetSpongeBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 969 byte class file net.minecraft.block.BreakableBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.BreakableBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 12319 byte class file net.minecraft.block.DispenserBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.DispenserBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8398 byte class file net.minecraft.block.PoweredRailBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.PoweredRailBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 3585 byte class file net.minecraft.block.TallGrassBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.TallGrassBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 2713 byte class file net.minecraft.block.DeadBushBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.DeadBushBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 7039 byte class file net.minecraft.block.SeaGrassBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SeaGrassBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 3407 byte class file net.minecraft.block.TorchBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.TorchBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8191 byte class file net.minecraft.block.WallTorchBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WallTorchBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 23153 byte class file net.minecraft.block.FireBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FireBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 2384 byte class file net.minecraft.block.SpawnerBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SpawnerBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 20414 byte class file net.minecraft.block.StairsBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.StairsBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 20838 byte class file net.minecraft.block.ChestBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.ChestBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 4110 byte class file net.minecraft.block.CraftingTableBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CraftingTableBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 10768 byte class file net.minecraft.block.CropsBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CropsBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 9520 byte class file net.minecraft.block.FarmlandBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FarmlandBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 3975 byte class file net.minecraft.block.FurnaceBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FurnaceBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 15639 byte class file net.minecraft.block.DoorBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.DoorBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8068 byte class file net.minecraft.block.LadderBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.LadderBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 5702 byte class file net.minecraft.block.RailBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.RailBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8870 byte class file net.minecraft.block.LeverBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.LeverBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 4648 byte class file net.minecraft.block.HorizontalFaceBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.HorizontalFaceBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 5522 byte class file net.minecraft.block.PressurePlateBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.PressurePlateBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 9290 byte class file net.minecraft.block.RedstoneTorchBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.RedstoneTorchBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 6601 byte class file net.minecraft.block.RedstoneWallTorchBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.RedstoneWallTorchBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 944 byte class file net.minecraft.block.StoneButtonBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.StoneButtonBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8281 byte class file net.minecraft.block.SnowBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SnowBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 9379 byte class file net.minecraft.block.CactusBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CactusBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8101 byte class file net.minecraft.block.SugarCaneBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SugarCaneBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 7512 byte class file net.minecraft.block.JukeboxBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.JukeboxBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 8805 byte class file net.minecraft.block.FourWayBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FourWayBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 5314 byte class file net.minecraft.block.PumpkinBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.PumpkinBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 10042 byte class file net.minecraft.block.CarvedPumpkinBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CarvedPumpkinBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 7182 byte class file net.minecraft.block.CakeBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CakeBlock.class
[07:26:42] [pool-3-thread-1/INFO]: Wrote 6676 byte class file net.minecraft.block.RepeaterBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.RepeaterBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 11313 byte class file net.minecraft.block.TrapDoorBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.TrapDoorBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 6746 byte class file net.minecraft.block.PaneBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.PaneBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 978 byte class file net.minecraft.block.MelonBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.MelonBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 6681 byte class file net.minecraft.block.AttachedStemBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.AttachedStemBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 9631 byte class file net.minecraft.block.StemBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.StemBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3036 byte class file net.minecraft.block.LilyPadBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.LilyPadBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 5127 byte class file net.minecraft.block.NetherWartBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.NetherWartBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 8322 byte class file net.minecraft.block.EnchantingTableBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.EnchantingTableBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 5458 byte class file net.minecraft.block.EndPortalBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.EndPortalBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 13095 byte class file net.minecraft.block.EnderChestBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.EnderChestBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 11580 byte class file net.minecraft.block.TripWireBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.TripWireBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 10045 byte class file net.minecraft.block.FlowerPotBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FlowerPotBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 942 byte class file net.minecraft.block.WoodButtonBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WoodButtonBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 4460 byte class file net.minecraft.block.SkullBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SkullBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 6096 byte class file net.minecraft.block.WallSkullBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WallSkullBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 9044 byte class file net.minecraft.block.WitherSkeletonSkullBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WitherSkeletonSkullBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 1605 byte class file net.minecraft.block.WitherSkeletonWallSkullBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WitherSkeletonWallSkullBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 2754 byte class file net.minecraft.block.SkullPlayerBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SkullPlayerBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 2070 byte class file net.minecraft.block.SkullWallPlayerBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SkullWallPlayerBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 4273 byte class file net.minecraft.block.WeightedPressurePlateBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.WeightedPressurePlateBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 1331 byte class file net.minecraft.block.BarrierBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.BarrierBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 2807 byte class file net.minecraft.block.CarpetBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CarpetBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 6342 byte class file net.minecraft.block.EndRodBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.EndRodBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 7275 byte class file net.minecraft.block.ChorusPlantBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.ChorusPlantBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 5322 byte class file net.minecraft.block.SixWayBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SixWayBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 11251 byte class file net.minecraft.block.ChorusFlowerBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.ChorusFlowerBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 4551 byte class file net.minecraft.block.GrassPathBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.GrassPathBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3331 byte class file net.minecraft.block.EndGatewayBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.EndGatewayBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 2038 byte class file net.minecraft.block.StructureVoidBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.StructureVoidBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3860 byte class file net.minecraft.block.KelpTopBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.KelpTopBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 2251 byte class file net.minecraft.block.KelpBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.KelpBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 1344 byte class file net.minecraft.block.DeadCoralPlantBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.DeadCoralPlantBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 6901 byte class file net.minecraft.block.AbstractCoralPlantBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.AbstractCoralPlantBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 4210 byte class file net.minecraft.block.CoralPlantBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CoralPlantBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 1332 byte class file net.minecraft.block.CoralFanBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CoralFanBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3526 byte class file net.minecraft.block.CoralFinBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CoralFinBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 7433 byte class file net.minecraft.block.DeadCoralWallFanBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.DeadCoralWallFanBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3678 byte class file net.minecraft.block.CoralWallFanBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CoralWallFanBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 9922 byte class file net.minecraft.block.SeaPickleBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SeaPickleBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 11189 byte class file net.minecraft.block.ScaffoldingBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.ScaffoldingBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 5441 byte class file net.minecraft.block.LoomBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.LoomBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3215 byte class file net.minecraft.block.SmokerBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.SmokerBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 3934 byte class file net.minecraft.block.BlastFurnaceBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.BlastFurnaceBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 4197 byte class file net.minecraft.block.CartographyTableBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.CartographyTableBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 1271 byte class file net.minecraft.block.FletchingTableBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.FletchingTableBlock.class
[07:26:43] [pool-3-thread-1/INFO]: Wrote 12608 byte class file net.minecraft.block.GrindstoneBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.GrindstoneBlock.class
